form,tags
accueillants,"['masculine', 'plural']"
acculé,
acculée,"['feminine', 'singular']"
acculées,"['feminine', 'plural']"
acculés,"['masculine', 'plural']"
accumulé,
accumulée,"['feminine', 'singular']"
accumulée,
accumulées,"['feminine', 'plural']"
accumulées,
accumulés,
accumulés,"['masculine', 'plural']"
accusable,
accusables,['plural']
accusataire,
accusataires,
accusataires,['plural']
accusateur,
accusateurs,"['masculine', 'plural']"
accusatifs,
accusative,
accusatives,
accusatoire,
accusatoires,
accusatoires,['plural']
accusatrice,"['feminine', 'singular']"
accusatrice,
accusatrices,"['feminine', 'plural']"
accusatrices,
accélérateur,
accélérateurs,"['masculine', 'plural']"
accélératrice,"['feminine', 'singular']"
accélératrice,
accélératrices,
accélératrices,"['feminine', 'plural']"
acellulaire,
acellulaires,
acellulaires,['plural']
acentré,
acentrée,"['feminine', 'singular']"
acentrée,
acentrées,"['feminine', 'plural']"
acentrées,
acentrés,
acentrés,"['masculine', 'plural']"
acerbe,
acerbes,
acerbes,['plural']
acescent,
acescente,
acescente,"['feminine', 'singular']"
acescentes,
acescentes,"['feminine', 'plural']"
acescents,
acescents,"['masculine', 'plural']"
achalandé,
achalandée,"['feminine', 'singular']"
achalandée,
achalandées,
achalandées,"['feminine', 'plural']"
achalandés,"['masculine', 'plural']"
achalandés,
acharné,
acharnée,"['feminine', 'singular']"
acharnée,
acharnées,"['feminine', 'plural']"
acharnées,
acharnés,
acharnés,"['masculine', 'plural']"
acheiropoïète,
acheiropoïètes,
acheiropoïètes,['plural']
achetable,
achetables,
achetables,['plural']
acheuléen,
acheuléenne,"['feminine', 'singular']"
acheuléenne,
acheuléennes,"['feminine', 'plural']"
acheuléennes,
acheuléens,"['masculine', 'plural']"
acheuléens,
achilletalonesque,
achilletalonesques,
achilletalonesques,['plural']
achilletalonnesque,
achilletalonnesques,['plural']
achilletalonnesques,
achiléen,
achiléenne,
achiléenne,"['feminine', 'singular']"
achiléennes,
achiléennes,"['feminine', 'plural']"
achiléens,
achiléens,"['masculine', 'plural']"
achkenaze,
achkenazes,
achkenazes,['plural']
achkénaze,
achkénazes,
achkénazes,['plural']
acholi,
acholie,
